uid,datetime,latitude,longitude
1,2018-01-01 00:25:46,-1.18884981099406,36.93138243675121
2,2018-01-01 02:02:39,-0.662938762534417,37.208730003992294
3,2018-01-01 02:31:49,-0.662938762534417,37.208730003992294
4,2018-01-01 03:04:01,-1.28808711064054,36.826583403307296
5,2018-01-01 03:58:49,-1.18884981099406,36.93138243675121
6,2018-01-01 04:04:09,-0.662938762534417,37.208730003992294
7,2018-01-01 05:31:17,-1.16522821102464,36.960007703423706
8,2018-01-01 07:57:56,-1.30130261058807,36.820903303292
9,2018-01-01 09:57:27,-1.13463971131295,36.8482196034995
10,2018-01-01 10:48:59,-1.11720711118115,37.008278403470705
11,2018-01-01 11:23:14,-1.2825470106648,36.82723370331429
12,2018-01-01 11:32:24,-1.2722614207103602,36.8281065733273
13,2018-01-01 14:34:07,-1.6050616087800402,37.1669184027834
14,2018-01-02 05:13:31,-1.3106566576446002,36.8054806097211
15,2018-01-02 05:28:15,-1.1888414109544598,36.9313708034022
16,2018-01-02 07:23:44,-1.26433113609309,36.7469843524426
17,2018-01-02 07:25:06,-1.26426660944345,36.74698523415729
18,2018-01-02 07:34:35,-1.32983701041026,36.855809503272
19,2018-01-02 07:34:54,-1.26433113609309,36.7469843524426
20,2018-01-02 07:37:25,-1.2641316290306,36.7542528847116
21,2018-01-02 07:38:40,-1.26433113609309,36.7469843524426
22,2018-01-02 07:41:50,-1.2641003775103898,36.75425230336489
23,2018-01-02 07:54:53,-1.26433113609309,36.7469843524426
24,2018-01-02 08:25:13,-1.26433113609309,36.7469843524426
25,2018-01-02 09:36:32,-1.1672840111931202,36.825383003464395
26,2018-01-02 10:14:37,-1.48464840935047,37.1370319029494
27,2018-01-02 11:40:51,-0.7833300126180859,37.1000000038811
28,2018-01-02 11:43:40,-1.11907251168763,36.6184080035925
29,2018-01-02 12:53:00,-1.2870838106559899,36.81826470331129
30,2018-01-02 12:54:35,-1.3285224027756002,36.880780019064396
31,2018-01-02 13:14:14,-1.2922878743109099,36.8423884423268
32,2018-01-02 13:16:07,-1.32834076242482,36.8811599103441
33,2018-01-02 13:54:06,-1.3261974102945,36.881100270584795
34,2018-01-02 14:10:58,-1.48313562213472,37.0482844716554
35,2018-01-02 14:17:01,-1.1706894109834198,36.9722933034125
36,2018-01-02 14:41:44,-1.3261974102945,36.881100270584795
37,2018-01-02 15:00:34,-1.3261974102945,36.881100270584795
38,2018-01-02 15:03:19,-1.32815651050347,36.8707640046704
39,2018-01-02 15:39:32,-1.48464840935047,37.1370319029494
40,2018-01-02 16:55:16,-1.2623680106860902,36.8790866699941
41,2018-01-03 00:46:33,-1.46107358539872,36.9639318060297
42,2018-01-03 01:58:56,-1.2846493773566598,36.820902236634296
